NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
ZNF135	1	ENSG00000176293	
PIK3R3	1	ENSG00000117461	
XRN2	1	ENSG00000088930	
CYB5B	1	ENSG00000103018	
ZNF404	1	ENSG00000176222	
MLST8	1	ENSG00000167965	
TRIM11	1	ENSG00000154370	
ZNF641	1	ENSG00000167528	
GTPBP6	1	ENSG00000178605	
UQCC2	1	ENSG00000137288	
LRBA	1	ENSG00000198589	
PSMB8	1	ENSG00000204264	
WDR81	1	ENSG00000167716	
C17orf75	1	ENSG00000108666	
NRBP2	1	ENSG00000185189	
RBBP4P2	1	ENSG00000242457	
NUP188	1	ENSG00000095319	
EMC3	1	ENSG00000125037	
CDC42P6	1	ENSG00000237350	
HNRNPH2	1	ENSG00000126945	
ISOC1	1	ENSG00000066583	
CBX6	1	ENSG00000183741	
ASH1L	1	ENSG00000116539	
RPRD1A	1	ENSG00000141425	
LRRC20	1	ENSG00000172731	
CCNO	1	ENSG00000152669	
TRABD	1	ENSG00000170638	
BCCIP	1	ENSG00000107949	
WNK3	1	ENSG00000196632	
RNF215	1	ENSG00000099999	
LIFR	1	ENSG00000113594	
SLC39A1	1	ENSG00000143570	
LEMD2	1	ENSG00000161904	
PCBP1-AS1	1	ENSG00000179818	
SLC35B2	1	ENSG00000157593	
PILRB	1	ENSG00000121716	
GFM1	1	ENSG00000168827	
PHACTR4	1	ENSG00000204138	
BLTP2	1	ENSG00000007202	
UBAP2	1	ENSG00000137073	
GRWD1	1	ENSG00000105447	
VPS13A	1	ENSG00000197969	
GABARAPL3	1	ENSG00000238244	
REPIN1	1	ENSG00000214022	
MAPK1	1	ENSG00000100030	
SLBP	1	ENSG00000163950	
GNAL	1	ENSG00000141404	
FHIP2B	1	ENSG00000158863	
MECR	1	ENSG00000116353	
USP10	1	ENSG00000103194	
ZFYVE26	1	ENSG00000072121	
TXLNG	1	ENSG00000086712	
KHDC4	1	ENSG00000132680	
RPS14	1	ENSG00000164587	
MKLN1	1	ENSG00000128585	
ENOSF1	1	ENSG00000132199	
ADGRL1	1	ENSG00000072071	
SLC25A17	1	ENSG00000100372	
KATNB1	1	ENSG00000140854	
WDR90	1	ENSG00000161996	
REEP3	1	ENSG00000165476	
BRD1	1	ENSG00000100425	
PABIR2	1	ENSG00000156504	
UBE2A	1	ENSG00000077721	
IFT80	1	ENSG00000068885	
POLR2A	1	ENSG00000181222	
PFKL	1	ENSG00000141959	
FBXL18	1	ENSG00000155034	
MRPS27	1	ENSG00000113048	
CIAO3	1	ENSG00000103245	
WNT9A	1	ENSG00000143816	
ZNF182	1	ENSG00000147118	
BTN3A3	1	ENSG00000111801	
UBTF	1	ENSG00000108312	
INTU	1	ENSG00000164066	
ZNF790	1	ENSG00000197863	
AIFM1	1	ENSG00000156709	
EIF5	1	ENSG00000100664	
ISG20L2	1	ENSG00000143319	
MEX3C	1	ENSG00000176624	
GEMIN7	1	ENSG00000142252	
ANKRD40	1	ENSG00000154945	
EIF3FP3	1	ENSG00000233426	
PRPF38B	1	ENSG00000134186	
RPS6KA3	1	ENSG00000177189	
C1orf35	1	ENSG00000143793	
DRG1	1	ENSG00000185721	
METTL14	1	ENSG00000145388	
FEM1A	1	ENSG00000141965	
PRRC2A	1	ENSG00000204469	
CXXC1	1	ENSG00000154832	
KCTD11	1	ENSG00000213859	
MTMR4	1	ENSG00000108389	
SRPK2	1	ENSG00000135250	
ABHD12	1	ENSG00000100997	
IRF2	1	ENSG00000168310	
HNRNPH3	1	ENSG00000096746	
PEX13	1	ENSG00000162928	
SNRNP40	1	ENSG00000060688	
HAT1	1	ENSG00000128708	
SLC12A9	1	ENSG00000146828	
VRK3	1	ENSG00000105053	
KRBOX4	1	ENSG00000147121	
CERS2	1	ENSG00000143418	
CDK9	1	ENSG00000136807	
SLC25A11	1	ENSG00000108528	
INHBB	1	ENSG00000163083	
TCERG1	1	ENSG00000113649	
EXOC8	1	ENSG00000116903	
CPQ	1	ENSG00000104324	
SRP68	1	ENSG00000167881	
VPS39	1	ENSG00000166887	
MAPK9	1	ENSG00000050748	
PGD	1	ENSG00000142657	
S100A13	1	ENSG00000189171	
TMEM161B-DT	1	ENSG00000247828	
STAT3	1	ENSG00000168610	
EMSLR	1	ENSG00000232445	
ABTB1	1	ENSG00000114626	
SMUG1	1	ENSG00000123415	
ATG16L1	1	ENSG00000085978	
TEAD3	1	ENSG00000007866	
LINC00665	1	ENSG00000232677	
PLEKHA2	1	ENSG00000169499	
ZNG1B	1	ENSG00000136682	
KPNA1	1	ENSG00000114030	
CEMIP2	1	ENSG00000135048	
CUL4B	1	ENSG00000158290	
MINDY1	1	ENSG00000143409	
USP32	1	ENSG00000170832	
CEBPZ	1	ENSG00000115816	
PLEKHA3	1	ENSG00000116095	
TMEM120A	1	ENSG00000189077	
MRPL20	1	ENSG00000242485	
MICU3	1	ENSG00000155970	
TLK2	1	ENSG00000146872	
OPHN1	1	ENSG00000079482	
NAXE	1	ENSG00000163382	
PTTG1IP	1	ENSG00000183255	
ILRUN	1	ENSG00000196821	
MAPRE1	1	ENSG00000101367	
LTBP4	1	ENSG00000090006	
OXSR1	1	ENSG00000172939	
MTA1	1	ENSG00000182979	
ATP5F1A	1	ENSG00000152234	
NAA35	1	ENSG00000135040	
PHF20L1	1	ENSG00000129292	
PRXL2B	1	ENSG00000157870	
C1orf174	1	ENSG00000198912	
FBXO44	1	ENSG00000132879	
PTP4A2P2	1	ENSG00000254481	
CLIP1	1	ENSG00000130779	
RAB2B	1	ENSG00000129472	
RPL31	1	ENSG00000071082	
TMEM79	1	ENSG00000163472	
SUB1P1	1	ENSG00000227203	
EIF2S2	1	ENSG00000125977	
TMEM248	1	ENSG00000106609	
TBCD	1	ENSG00000141556	
ANAPC4	1	ENSG00000053900	
KRBOX5	1	ENSG00000197302	
PI4K2B	1	ENSG00000038210	
MT-ND5	1	ENSG00000198786	
TAF9B	1	ENSG00000187325	
RGL3	1	ENSG00000205517	
DUSP8P5	1	ENSG00000235316	
ZNF616	1	ENSG00000204611	
HNRNPKP1	1	ENSG00000250859	
MRM2	1	ENSG00000122687	
TYW3	1	ENSG00000162623	
PIAS4	1	ENSG00000105229	
RNF5	1	ENSG00000204308	
RXRB	1	ENSG00000204231	
RPL13AP5	1	ENSG00000236552	
NAP1L1P1	1	ENSG00000254759	
NDUFS7	1	ENSG00000115286	
ATL2	1	ENSG00000119787	
SAE1	1	ENSG00000142230	
ZNF691	1	ENSG00000164011	
FTO	1	ENSG00000140718	
ZFAND6	1	ENSG00000086666	
POM121	1	ENSG00000196313	
ATG4B	1	ENSG00000168397	
IFT57	1	ENSG00000114446	
ARRDC1	1	ENSG00000197070	
ZFP3	1	ENSG00000180787	
MLYCD	1	ENSG00000103150	
RNF135	1	ENSG00000181481	
CDC27	1	ENSG00000004897	
CRACR2B	1	ENSG00000177685	
FBXO38	1	ENSG00000145868	
FBXO45	1	ENSG00000174013	
ATP11B	1	ENSG00000058063	
SNX7	1	ENSG00000162627	
ABCA2	1	ENSG00000107331	
SF3A3P2	1	ENSG00000254449	
MAST2	1	ENSG00000086015	
PTPN11	1	ENSG00000179295	
SOCS2	1	ENSG00000120833	
POLR1HASP	1	ENSG00000204623	
YLPM1	1	ENSG00000119596	
GOLGA2	1	ENSG00000167110	
SLC35C2	1	ENSG00000080189	
HLA-DRB5	1	ENSG00000198502	
CTNNA1	1	ENSG00000044115	
RALBP1P2	1	ENSG00000238029	
CRTC2	1	ENSG00000160741	
ASTE1	1	ENSG00000034533	
MLH1	1	ENSG00000076242	
CNBP	1	ENSG00000169714	
PAIP1P2	1	ENSG00000174977	
S100A14	1	ENSG00000189334	
ZC3H7B	1	ENSG00000100403	
RPP25L	1	ENSG00000164967	
ZNF18	1	ENSG00000154957	
HADHAP1	1	ENSG00000251596	
RPL36AP37	1	ENSG00000244398	
RPS24P19	1	ENSG00000227008	
ZBTB18	1	ENSG00000179456	
CDC42	1	ENSG00000070831	
UBAC1	1	ENSG00000130560	
LAMB2	1	ENSG00000172037	
EIF2B5	1	ENSG00000145191	
PPIL4	1	ENSG00000131013	
RPAP1	1	ENSG00000103932	
COG4	1	ENSG00000103051	
PDE8A	1	ENSG00000073417	
POLR3B	1	ENSG00000013503	
SECISBP2L	1	ENSG00000138593	
WIPF1	1	ENSG00000115935	
CERS5	1	ENSG00000139624	
PRKAB1	1	ENSG00000111725	
RTRAF	1	ENSG00000087302	
COG8	1	ENSG00000213380	
CCDC149	1	ENSG00000181982	
PRPF3	1	ENSG00000117360	
TTC1	1	ENSG00000113312	
OARD1	1	ENSG00000124596	
STX4	1	ENSG00000103496	
DHRS7B	1	ENSG00000109016	
TEX10	1	ENSG00000136891	
RASD1	1	ENSG00000108551	
CIC	1	ENSG00000079432	
ATP6V1E1	1	ENSG00000131100	
GABARAPL1	1	ENSG00000139112	
AKIRIN2	1	ENSG00000135334	
JUN	1	ENSG00000177606	
PAIP2	1	ENSG00000120727	
ZNF266	1	ENSG00000174652	
FOXN3	1	ENSG00000053254	
YPEL5	1	ENSG00000119801	
PPP4R2	1	ENSG00000163605	
DENND10P1	1	ENSG00000221930	
BLNK	1	ENSG00000095585	
NUDT14	1	ENSG00000183828	
ARPIN	1	ENSG00000242498	
AFG3L2P1	1	ENSG00000253606	
ZXDB	1	ENSG00000198455	
GPR135	1	ENSG00000181619	
ZNF121	1	ENSG00000197961	
PRPF4	1	ENSG00000136875	
NUDC	1	ENSG00000090273	
TRIP10	1	ENSG00000125733	
PLEKHG5	1	ENSG00000171680	
TIPRL	1	ENSG00000143155	
PQBP1	1	ENSG00000102103	
ZBTB26	1	ENSG00000171448	
ASB13	1	ENSG00000196372	
RHPN1	1	ENSG00000158106	
NRN1	1	ENSG00000124785	
AIDA	1	ENSG00000186063	
LBH	1	ENSG00000213626	
POU6F1	1	ENSG00000184271	
NOXA1	1	ENSG00000188747	
EPS8L2	1	ENSG00000177106	
EIF3A	1	ENSG00000107581	
SYT9	1	ENSG00000170743	
RAPH1	1	ENSG00000173166	
ADO	1	ENSG00000181915	
CCDC159	1	ENSG00000183401	
ZNF280C	1	ENSG00000056277	
PRKAA2	1	ENSG00000162409	
DTD2	1	ENSG00000129480	
RPS18P5	1	ENSG00000242299	
USP45	1	ENSG00000123552	
C12orf4	1	ENSG00000047621	
DYNLRB1	1	ENSG00000125971	
ATPSCKMT	1	ENSG00000150756	
EFHC1	1	ENSG00000096093	
KANSL3	1	ENSG00000114982	
ZBTB7B	1	ENSG00000160685	
RNF216P1	1	ENSG00000196204	
USP42	1	ENSG00000106346	
TEX264	1	ENSG00000164081	
SKP1	1	ENSG00000113558	
BMPR1AP1	1	ENSG00000219642	
CDV3	1	ENSG00000091527	
ENSG00000176593	1	ENSG00000176593	
NISCH	1	ENSG00000010322	
EEF2	1	ENSG00000167658	
MCUR1	1	ENSG00000050393	
NIPBL	1	ENSG00000164190	
MANEA	1	ENSG00000172469	
SLFN12	1	ENSG00000172123	
RPS6KB1	1	ENSG00000108443	
C19orf48P	1	ENSG00000167747	
CACYBP	1	ENSG00000116161	
ATP6V0A1	1	ENSG00000033627	
ARHGEF34P	1	ENSG00000204959	
MTMR9LP	1	ENSG00000220785	
MRPL39	1	ENSG00000154719	
HPS3	1	ENSG00000163755	
SDAD1P1	1	ENSG00000228451	
RHOV	1	ENSG00000104140	
TNFRSF11A	1	ENSG00000141655	
EXOSC9	1	ENSG00000123737	
EVI5	1	ENSG00000067208	
TMEM9	1	ENSG00000116857	
ERCC3	1	ENSG00000163161	
RFK	1	ENSG00000135002	
PABPN1	1	ENSG00000100836	
NSL1	1	ENSG00000117697	
ITIH5	1	ENSG00000123243	
XPOT	1	ENSG00000184575	
MATR3P2	1	ENSG00000242140	
HDAC3	1	ENSG00000171720	
GOT2	1	ENSG00000125166	
DPM2	1	ENSG00000136908	
KCNC4	1	ENSG00000116396	
NARF	1	ENSG00000141562	
TMEM39B	1	ENSG00000121775	
TST	1	ENSG00000128311	
RMDN3	1	ENSG00000137824	
BMT2	1	ENSG00000164603	
PREPL	1	ENSG00000138078	
C7orf50	1	ENSG00000146540	
RAD51D	1	ENSG00000185379	
GIGYF1	1	ENSG00000146830	
ARHGAP26	1	ENSG00000145819	
SNRNP70	1	ENSG00000104852	
DTX2	1	ENSG00000091073	
P4HTM	1	ENSG00000178467	
RAB9B	1	ENSG00000123570	
WDR46	1	ENSG00000227057	
TOR1A	1	ENSG00000136827	
TRIM2	1	ENSG00000109654	
RAB4A	1	ENSG00000168118	
SNX4	1	ENSG00000114520	
FANCG	1	ENSG00000221829	
WRAP73	1	ENSG00000116213	
ATXN1L	1	ENSG00000224470	
EPN3	1	ENSG00000049283	
COG7	1	ENSG00000168434	
TJP2	1	ENSG00000119139	
PIGL	1	ENSG00000108474	
FAM104A	1	ENSG00000133193	
GON4L	1	ENSG00000116580	
CNST	1	ENSG00000162852	
AFF1	1	ENSG00000172493	
ADD1	1	ENSG00000087274	
ACHE	1	ENSG00000087085	
WASH7P	1	ENSG00000227232	
GPR155	1	ENSG00000163328	
KBTBD11	1	ENSG00000176595	
SPG7	1	ENSG00000197912	
SLC4A1APP1	1	ENSG00000232060	
RPS3AP6	1	ENSG00000234797	
RAD23BP1	1	ENSG00000236570	
EEFSEC	1	ENSG00000132394	
MFN1	1	ENSG00000171109	
RBMS1P1	1	ENSG00000225422	
COQ10A	1	ENSG00000135469	
SETD1B	1	ENSG00000139718	
FBXO21	1	ENSG00000135108	
ESF1	1	ENSG00000089048	
TMEM70	1	ENSG00000175606	
GATD1	1	ENSG00000177225	
PTPN21	1	ENSG00000070778	
HK2P1	1	ENSG00000228612	
HDAC2	1	ENSG00000196591	
MRPL36	1	ENSG00000171421	
SIGIRR	1	ENSG00000185187	
CCDC167	1	ENSG00000198937	
MAGT1	1	ENSG00000102158	
RNASEH2B	1	ENSG00000136104	
NRTN	1	ENSG00000171119	
RPL41	1	ENSG00000229117	
PSMA6P1	1	ENSG00000215414	
GMCL1	1	ENSG00000087338	
RBM17	1	ENSG00000134453	
GSK3A	1	ENSG00000105723	
ZSCAN18	1	ENSG00000121413	
VKORC1	1	ENSG00000167397	
CDK13	1	ENSG00000065883	
DTWD1	1	ENSG00000104047	
HIVEP2	1	ENSG00000010818	
TCTN1	1	ENSG00000204852	
ARFRP1	1	ENSG00000101246	
MST1	1	ENSG00000173531	
TONSL	1	ENSG00000160949	
LONP1	1	ENSG00000196365	
SLC22A18	1	ENSG00000110628	
GNB2	1	ENSG00000172354	
NME4	1	ENSG00000103202	
YIPF3	1	ENSG00000137207	
ZNF619	1	ENSG00000177873	
PMPCA	1	ENSG00000165688	
LITAF	1	ENSG00000189067	
MAN2A2	1	ENSG00000196547	
TSC22D4	1	ENSG00000166925	
ZC3H15	1	ENSG00000065548	
PARN	1	ENSG00000140694	
TPM3P8	1	ENSG00000183022	
DDX56	1	ENSG00000136271	
KLF9	1	ENSG00000119138	
ZNF827	1	ENSG00000151612	
BORCS5	1	ENSG00000165714	
RAB22A	1	ENSG00000124209	
HIGD1A	1	ENSG00000181061	
SMG7-AS1	1	ENSG00000232860	
RWDD3	1	ENSG00000122481	
ZNF528	1	ENSG00000167555	
EIF2AK3	1	ENSG00000172071	
PUS10	1	ENSG00000162927	
DMTF1	1	ENSG00000135164	
DMAP1	1	ENSG00000178028	
GOLGA7	1	ENSG00000147533	
ZC3H3	1	ENSG00000014164	
INO80E	1	ENSG00000169592	
KIF21B	1	ENSG00000116852	
RNF20	1	ENSG00000155827	
PMPCB	1	ENSG00000105819	
GRHPR	1	ENSG00000137106	
RPL29	1	ENSG00000162244	
TSPYL1	1	ENSG00000189241	
STAG3L3	1	ENSG00000174353	
URM1	1	ENSG00000167118	
PDPN	1	ENSG00000162493	
ESRP2	1	ENSG00000103067	
CLHC1	1	ENSG00000162994	
RPL18	1	ENSG00000063177	
KLHL2	1	ENSG00000109466	
RPS4XP2	1	ENSG00000226948	
DCAF12	1	ENSG00000198876	
WAC-AS1	1	ENSG00000254635	
BAZ1A	1	ENSG00000198604	
ITFG2	1	ENSG00000111203	
BIVM	1	ENSG00000134897	
AHCYL1	1	ENSG00000168710	
UBA52	1	ENSG00000221983	
PPP1R7	1	ENSG00000115685	
CBR1	1	ENSG00000159228	
TREX1	1	ENSG00000213689	
PCNA	1	ENSG00000132646	
LRRC41	1	ENSG00000132128	
TRPM4	1	ENSG00000130529	
DDR1	1	ENSG00000204580	
CTC1	1	ENSG00000178971	
NKIRAS1	1	ENSG00000197885	
E4F1	1	ENSG00000167967	
CDK18	1	ENSG00000117266	
MCM3	1	ENSG00000112118	
RRP1	1	ENSG00000160214	
ERGIC2	1	ENSG00000087502	
TOMM7	1	ENSG00000196683	
DPP9	1	ENSG00000142002	
GOLM2P1	1	ENSG00000238132	
THAP6	1	ENSG00000174796	
PI4KAP2	1	ENSG00000183506	
PSMB5	1	ENSG00000100804	
PGM2	1	ENSG00000169299	
LAMTOR5	1	ENSG00000134248	
NDC1	1	ENSG00000058804	
DOCK7	1	ENSG00000116641	
SFT2D1	1	ENSG00000198818	
PLA2G4F	1	ENSG00000168907	
BSG	1	ENSG00000172270	
TMEM62	1	ENSG00000137842	
DBI	1	ENSG00000155368	
C9orf85	1	ENSG00000155621	
CCDC137	1	ENSG00000185298	
ZNF483	1	ENSG00000173258	
ARPC3P3	1	ENSG00000256745	
EIF4H	1	ENSG00000106682	
PTK2	1	ENSG00000169398	
NELFA	1	ENSG00000185049	
SLC9A2	1	ENSG00000115616	
LLGL2	1	ENSG00000073350	
ZNF439	1	ENSG00000171291	
NCOA2	1	ENSG00000140396	
ZNF418	1	ENSG00000196724	
SSB	1	ENSG00000138385	
GNA11	1	ENSG00000088256	
GMCL2	1	ENSG00000244234	
IP6K1	1	ENSG00000176095	
TM9SF3	1	ENSG00000077147	
BEGAIN	1	ENSG00000183092	
MGRN1	1	ENSG00000102858	
ANAPC7	1	ENSG00000196510	
CDK11A	1	ENSG00000008128	
FGD1	1	ENSG00000102302	
METTL2A	1	ENSG00000087995	
EBNA1BP2	1	ENSG00000117395	
DHRS3	1	ENSG00000162496	
TMEM63B	1	ENSG00000137216	
ZNF385A	1	ENSG00000161642	
SKIL	1	ENSG00000136603	
PHKB	1	ENSG00000102893	
SIRT3	1	ENSG00000142082	
CNDP2	1	ENSG00000133313	
RBM27	1	ENSG00000091009	
TIMM23B	1	ENSG00000204152	
DAZAP2	1	ENSG00000183283	
ALG10	1	ENSG00000139133	
TM9SF4	1	ENSG00000101337	
SFT2D2	1	ENSG00000213064	
PDCD6P1	1	ENSG00000188002	
PPM1K	1	ENSG00000163644	
RACK1	1	ENSG00000204628	
NUP43	1	ENSG00000120253	
NDUFB7	1	ENSG00000099795	
SLC38A6	1	ENSG00000139974	
PBX2P1	1	ENSG00000244171	
TSSC4	1	ENSG00000184281	
EIF4E2	1	ENSG00000135930	
MAP3K3	1	ENSG00000198909	
ZBTB14	1	ENSG00000198081	
TRIM13	1	ENSG00000204977	
RITA1	1	ENSG00000139405	
APEX2	1	ENSG00000169188	
DSP	1	ENSG00000096696	
IWS1	1	ENSG00000163166	
NUFIP1	1	ENSG00000083635	
ZFP69	1	ENSG00000187815	
ARL17A	1	ENSG00000185829	
SSBP3	1	ENSG00000157216	
AGL	1	ENSG00000162688	
CLYBL	1	ENSG00000125246	
SNRK	1	ENSG00000163788	
ASAH2B	1	ENSG00000204147	
DNAAF9	1	ENSG00000088854	
OXNAD1	1	ENSG00000154814	
RPF1	1	ENSG00000117133	
RPUSD3	1	ENSG00000156990	
VAMP1	1	ENSG00000139190	
AKIP1	1	ENSG00000166452	
BRIX1	1	ENSG00000113460	
MRPL3	1	ENSG00000114686	
RINT1	1	ENSG00000135249	
SUZ12	1	ENSG00000178691	
SHKBP1	1	ENSG00000160410	
NFATC2IP	1	ENSG00000176953	
QSOX2	1	ENSG00000165661	
NME6	1	ENSG00000172113	
ZNF777	1	ENSG00000196453	
COPRS	1	ENSG00000172301	
UTP11	1	ENSG00000183520	
TPCN1	1	ENSG00000186815	
RGPD5	1	ENSG00000015568	
PRPF39	1	ENSG00000185246	
RPL37AP1	1	ENSG00000226243	
SLC35A2	1	ENSG00000102100	
RPL13A	1	ENSG00000142541	
ALG11	1	ENSG00000253710	
DHX8	1	ENSG00000067596	
STX18	1	ENSG00000168818	
UBR2	1	ENSG00000024048	
OXLD1	1	ENSG00000204237	
SRCAP	1	ENSG00000080603	
ZC3H11A	1	ENSG00000058673	
PARK7	1	ENSG00000116288	
SDHAF1	1	ENSG00000205138	
TMEM200B	1	ENSG00000253304	
RNPS1P1	1	ENSG00000250896	
MPLKIP	1	ENSG00000168303	
CAND1	1	ENSG00000111530	
DSC2	1	ENSG00000134755	
LZTR1	1	ENSG00000099949	
RBMX2	1	ENSG00000134597	
LRRC56	1	ENSG00000161328	
MRM3	1	ENSG00000171861	
PHF10P1	1	ENSG00000228986	
PRKN	1	ENSG00000185345	
SLC2A8	1	ENSG00000136856	
TTC38	1	ENSG00000075234	
FNBP1	1	ENSG00000187239	
TADA2B	1	ENSG00000173011	
SYTL1	1	ENSG00000142765	
GNPTAB	1	ENSG00000111670	
BAHD1	1	ENSG00000140320	
SLC12A7	1	ENSG00000113504	
DYNC1LI2	1	ENSG00000135720	
SDAD1	1	ENSG00000198301	
C19orf44	1	ENSG00000105072	
GUF1	1	ENSG00000151806	
ZMYM5	1	ENSG00000132950	
SF3A1	1	ENSG00000099995	
TATDN3	1	ENSG00000203705	
WIZ	1	ENSG00000011451	
NCDN	1	ENSG00000020129	
GP1BB	1	ENSG00000203618	
CTNS	1	ENSG00000040531	
CHMP5P1	1	ENSG00000215284	
OTUD1	1	ENSG00000165312	
SCAMP2	1	ENSG00000140497	
MDM2	1	ENSG00000135679	
PABPC1L	1	ENSG00000101104	
MED10	1	ENSG00000133398	
RPL29P4	1	ENSG00000230202	
NPM1P37	1	ENSG00000219085	
ZNF354A	1	ENSG00000169131	
NT5DC1	1	ENSG00000178425	
DDX23	1	ENSG00000174243	
PPP2R2D	1	ENSG00000175470	
REV3L	1	ENSG00000009413	
CLK2P1	1	ENSG00000232553	
CD27-AS1	1	ENSG00000215039	
NLN	1	ENSG00000123213	
CRNKL1	1	ENSG00000101343	
SUCLA2	1	ENSG00000136143	
CCDC14	1	ENSG00000175455	
H2AZ1	1	ENSG00000164032	
CLDN7	1	ENSG00000181885	
AKTIPP2	1	ENSG00000226432	
MOCS2	1	ENSG00000164172	
GDPD1	1	ENSG00000153982	
HOXB2	1	ENSG00000173917	
GSTA4	1	ENSG00000170899	
NHP2	1	ENSG00000145912	
TMEM170B	1	ENSG00000205269	
PSMB7	1	ENSG00000136930	
GOT1	1	ENSG00000120053	
SMPD4	1	ENSG00000136699	
HSD17B14	1	ENSG00000087076	
AGAP3	1	ENSG00000133612	
ZNF124	1	ENSG00000196418	
PRR14	1	ENSG00000156858	
PDHA1	1	ENSG00000131828	
IPO11	1	ENSG00000086200	
NOC2L	1	ENSG00000188976	
WDR25	1	ENSG00000176473	
MRPL38	1	ENSG00000204316	
LARS1	1	ENSG00000133706	
CGRRF1	1	ENSG00000100532	
C1RL	1	ENSG00000139178	
VBP1	1	ENSG00000155959	
GOLGA2P7	1	ENSG00000225151	
RAD23A	1	ENSG00000179262	
PAM16	1	ENSG00000217930	
CHMP4B	1	ENSG00000101421	
NDUFS4	1	ENSG00000164258	
AMIGO1	1	ENSG00000181754	
NCBP1	1	ENSG00000136937	
ANKFY1	1	ENSG00000185722	
MED18	1	ENSG00000130772	
ZNF585A	1	ENSG00000196967	
N6AMT1	1	ENSG00000156239	
LUC7L	1	ENSG00000007392	
RNASET2	1	ENSG00000026297	
RASEF	1	ENSG00000165105	
ARPC1A	1	ENSG00000241685	
PSMD7	1	ENSG00000103035	
SIK2	1	ENSG00000170145	
PRELID1P1	1	ENSG00000217325	
TBC1D10A	1	ENSG00000099992	
UBE2O	1	ENSG00000175931	
ZNF253	1	ENSG00000256771	
VPS16	1	ENSG00000215305	
EIF2S1	1	ENSG00000134001	
DHODH	1	ENSG00000102967	
HELZ2	1	ENSG00000130589	
TMEM260	1	ENSG00000070269	
RPL39P3	1	ENSG00000235174	
AHCTF1	1	ENSG00000153207	
DPH7	1	ENSG00000148399	
EPHX2	1	ENSG00000120915	
XYLB	1	ENSG00000093217	
RBM12	1	ENSG00000244462	
MZT1	1	ENSG00000204899	
NIPSNAP1	1	ENSG00000184117	
SPPL2B	1	ENSG00000005206	
KLHL20	1	ENSG00000076321	
IRF1-AS1	1	ENSG00000197536	
TUBGCP2	1	ENSG00000130640	
GLUL	1	ENSG00000135821	
SFR1	1	ENSG00000156384	
ZNF223	1	ENSG00000178386	
AMMECR1L	1	ENSG00000144233	
USP19	1	ENSG00000172046	
HNRNPF	1	ENSG00000169813	
PDE7B	1	ENSG00000171408	
ECT2	1	ENSG00000114346	
ZNF699	1	ENSG00000196110	
PYROXD2	1	ENSG00000119943	
PIGO	1	ENSG00000165282	
C20orf96	1	ENSG00000196476	
RCCD1	1	ENSG00000166965	
ARHGEF1	1	ENSG00000076928	
WBP2	1	ENSG00000132471	
FDFT1	1	ENSG00000079459	
SUPT5H	1	ENSG00000196235	
COMT	1	ENSG00000093010	
SHISA4	1	ENSG00000198892	
JUND	1	ENSG00000130522	
DEF8	1	ENSG00000140995	
SMC5	1	ENSG00000198887	
TIAL1	1	ENSG00000151923	
MVP	1	ENSG00000013364	
ZNF597	1	ENSG00000167981	
CSAD	1	ENSG00000139631	
MPC2	1	ENSG00000143158	
LDHBP2	1	ENSG00000213684	
PCGF1	1	ENSG00000115289	
NAA15	1	ENSG00000164134	
RPS6	1	ENSG00000137154	
U2SURP	1	ENSG00000163714	
STRAP	1	ENSG00000023734	
CYCS	1	ENSG00000172115	
ELF4	1	ENSG00000102034	
BAG3	1	ENSG00000151929	
FECH	1	ENSG00000066926	
CHCHD3P3	1	ENSG00000214973	
CDC37	1	ENSG00000105401	
SNHG29	1	ENSG00000175061	
RFT1	1	ENSG00000163933	
ZNF436	1	ENSG00000125945	
ZNF706	1	ENSG00000120963	
POMP	1	ENSG00000132963	
DZIP1L	1	ENSG00000158163	
DCUN1D4	1	ENSG00000109184	
RPL3P4	1	ENSG00000232573	
ZNF513	1	ENSG00000163795	
PSMD1	1	ENSG00000173692	
XYLT2	1	ENSG00000015532	
PWP1	1	ENSG00000136045	
SMARCC1	1	ENSG00000173473	
ROGDI	1	ENSG00000067836	
TSEN54	1	ENSG00000182173	
HGS	1	ENSG00000185359	
TSPAN13	1	ENSG00000106537	
RLIM	1	ENSG00000131263	
ACOT9	1	ENSG00000123130	
KRBA1	1	ENSG00000133619	
SEMA4A	1	ENSG00000196189	
SET	1	ENSG00000119335	
STK17B	1	ENSG00000081320	
RALY	1	ENSG00000125970	
UBE2D1	1	ENSG00000072401	
PTPN4	1	ENSG00000088179	
GLO1	1	ENSG00000124767	
ZNF174	1	ENSG00000103343	
TRIM7	1	ENSG00000146054	
MRPS31	1	ENSG00000102738	
PDGFRL	1	ENSG00000104213	
LMCD1	1	ENSG00000071282	
HMGB1P5	1	ENSG00000132967	
FLOT2	1	ENSG00000132589	
DUS2	1	ENSG00000167264	
STK38L	1	ENSG00000211455	
CCDC43	1	ENSG00000180329	
ZNF446	1	ENSG00000083838	
MEAF6	1	ENSG00000163875	
ALG10B	1	ENSG00000175548	
AHCTF1P1	1	ENSG00000226121	
SDE2	1	ENSG00000143751	
HDHD2	1	ENSG00000167220	
DHX36	1	ENSG00000174953	
SPRING1	1	ENSG00000111412	
DOP1A	1	ENSG00000083097	
RPL7A	1	ENSG00000148303	
SNRNP35	1	ENSG00000184209	
MFSD3	1	ENSG00000167700	
NABP2	1	ENSG00000139579	
